id,nomsNumber,crn,createdBy,createdAt,submittedAt,state,statusUpdates,location,referringPrisonCode,applicationOrigin,bailHearingDate
5a297bf4-ff12-44a1-baf7-de29a8035eb8,A8767EA,X823998,CAS2V2_NOMIS_PB,"2022-12-13T15:00+01:00","","NOT_STARTED","0","","",prisonBail,2023-11-15T15:00+01:00
5046763f-cd41-44aa-b9f2-a894008532ae,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-01-10T10:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
591548d7-73c9-4805-8ed5-8ac25febcad0,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-02-20T17:00+01:00","","IN_PROGRESS","0","","",homeDetentionCurfew,2023-11-15T15:00+01:00
2b0491bf-9b57-4e69-b0c6-79d3ca432e05,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",prisonBail,2023-11-15T15:00+01:00
78a6a503-3b7f-4588-bdcc-2a7f37e09a3b,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
8a2a61cd-c6e9-4aa7-99f8-bb4179d10fb0,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI",homeDetentionCurfew,2023-11-15T15:00+01:00
57bddf4b-2b14-4e16-88ef-7c2139e04901,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","LEI",prisonBail,2023-11-15T15:00+01:00
9d39b241-72e9-47e2-8909-74af62206d2e,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","LEI",courtBail,2023-11-15T15:00+01:00
98033149-ddc0-453d-af3d-d0e3b8998db5,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
0b6c8b49-2823-4f2a-bdc7-f7af2ec5ffe0,A8767EA,X823998,CAS2V2_NOMIS_PB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
f1f95d77-a41d-4910-84f9-dc04445878ee,A8767EA,X823998,CAS2V2_NOMIS_CB,"2022-12-13T15:00+01:00","","NOT_STARTED","0","","",prisonBail,2023-11-15T15:00+01:00
833d368c-d94a-454e-8aed-7831e7d7d158,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-01-10T10:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
c1bf2b6f-6b39-41da-9465-eb37422c9452,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-02-20T17:00+01:00","","IN_PROGRESS","0","","",homeDetentionCurfew,2023-11-15T15:00+01:00
01d1305a-ce77-4fbb-843d-d0b3602a795c,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",prisonBail,2023-11-15T15:00+01:00
f2db7874-ab9c-4d2b-a92d-967680dc8502,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
05c65ba2-728c-4b34-822d-ad608af97a14,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI",homeDetentionCurfew,2023-11-15T15:00+01:00
edd623e7-7d33-4f33-a138-ef8babd84772,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","LEI",prisonBail,2023-11-15T15:00+01:00
cfa9c7f9-ab18-476d-9ccf-f43e8f27bcc3,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","LEI",courtBail,2023-11-15T15:00+01:00
0bcc6a66-442c-4f71-aee1-c3f02cb58ff4,A8767EA,X823998,CAS2V2_NOMIS_CB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
2d2dbee5-1e39-4a56-8ef8-44cadf6f11ba,A8767EA,X823998,CAS2V2_DELIUS_PB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
fa6ce6ff-aee2-4c2a-a2cd-7e385cbaad2a,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2022-12-13T15:00+01:00","","NOT_STARTED","0","","",prisonBail,2023-11-15T15:00+01:00
2171ebee-0705-49c9-9535-74558c241e6e,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-01-10T10:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
