id,nomsNumber,crn,createdBy,createdAt,submittedAt,state,statusUpdates,location,referringPrisonCode
"6a1551ea-cdb7-4f5e-beac-aee9ad73339c","A1234AI","X320741","SARAH_JONES_FAKE","2022-12-13T15:00+01:00","","NOT_STARTED","0","",""
"e958d2d4-1f1b-4dfd-8e78-982689ffcbdd","A1234AI","X320741","ROGER_SMITH_FAKE","2023-01-10T10:00+01:00","","IN_PROGRESS","0","",""
"aa77a9ae-2a7c-40ca-a43a-a2052991fc54","A1234AI","X320741","HILARY_HUGHES_FAKE","2023-02-20T17:00+01:00","","IN_PROGRESS","0","",""
"b8819782-01f4-41bc-982f-1154aa13b07d","A1234AI","X320741","POM_USER","2023-10-21T14:00+01:00","","IN_PROGRESS","0","",""
"ae502242-76df-4b62-bd0f-0d2a2f41e683","A1234AI","X320741","CAS2_LICENCE_USER","2023-10-21T14:00+01:00","","IN_PROGRESS","0","",""
"d1f0485b-322a-4127-931f-b0de7d47a9ca","A1234AI","X320741","SARAH_JONES_FAKE","2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI"
"edd787eb-31a3-4fad-a473-9cf8969f1487","A1234AI","X320741","ROGER_SMITH_FAKE","2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","BAI"
"dc4e0a2d-3755-4bbd-b185-700d81f80111","A1234AI","X320741","HILARY_HUGHES_FAKE","2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","BAI"
"c4a7cb9d-0ec6-4ac8-a90f-f037ab0c459e","A1234AI","X320741","POM_USER","2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","BAI"
"1100c55e-09f2-47e5-a421-3eb29658fc9e","A1234AI","X320741","CAS2_LICENCE_USER","2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","BAI"
